Target: DefaultSC

Observer: Gatineau
Start Time (UTC)            Stop Time (UTC)               Duration (s)         
Number of events : 72


Observer: Prince_Albert
Start Time (UTC)            Stop Time (UTC)               Duration (s)         
01 Jan 2026 12:28:59.568    01 Jan 2026 12:39:02.076      602.50773579    
01 Jan 2026 14:04:55.075    01 Jan 2026 14:13:51.293      536.21778121    
01 Jan 2026 21:52:22.172    01 Jan 2026 21:59:30.100      427.92840303    
01 Jan 2026 23:25:43.565    01 Jan 2026 23:35:59.470      615.90562128    
02 Jan 2026 01:03:08.558    02 Jan 2026 01:10:50.043      461.48521753    
02 Jan 2026 11:04:18.511    02 Jan 2026 11:09:01.893      283.38140555    
02 Jan 2026 12:38:05.163    02 Jan 2026 12:48:14.504      609.34097925    
02 Jan 2026 14:14:08.760    02 Jan 2026 14:22:42.025      513.26502337    
02 Jan 2026 22:01:05.604    02 Jan 2026 22:08:47.332      461.72771804    
02 Jan 2026 23:34:49.843    02 Jan 2026 23:45:07.372      617.52894970    
03 Jan 2026 01:12:45.200    03 Jan 2026 01:19:42.057      416.85662518    
03 Jan 2026 11:12:57.196    03 Jan 2026 11:18:54.827      357.63143564    
03 Jan 2026 12:47:11.622    03 Jan 2026 12:57:24.737      613.11411214    
03 Jan 2026 14:23:23.497    03 Jan 2026 14:31:30.419      486.92207948    
03 Jan 2026 22:09:51.804    03 Jan 2026 22:18:03.074      491.26943193    
03 Jan 2026 23:43:58.183    03 Jan 2026 23:54:14.518      616.33552804    
04 Jan 2026 01:22:28.357    04 Jan 2026 01:28:29.086      360.72893569    
04 Jan 2026 11:21:44.271    04 Jan 2026 11:28:37.796      413.52480421    
04 Jan 2026 12:56:18.880    04 Jan 2026 13:06:32.852      613.97208092    
04 Jan 2026 14:32:39.481    04 Jan 2026 14:40:16.282      456.80082237    
04 Jan 2026 22:18:40.501    04 Jan 2026 22:27:17.600      517.09900856    
04 Jan 2026 23:53:08.643    05 Jan 2026 00:03:20.861      612.21809381    
05 Jan 2026 01:32:21.448    05 Jan 2026 01:37:07.755      286.30609863    
05 Jan 2026 11:30:36.335    05 Jan 2026 11:38:14.244      457.90981196    
05 Jan 2026 13:05:26.887    05 Jan 2026 13:15:38.907      612.01934087    
05 Jan 2026 14:41:57.005    05 Jan 2026 14:48:59.325      422.31957834    
05 Jan 2026 22:27:31.511    05 Jan 2026 22:36:31.094      539.58250189    
06 Jan 2026 00:02:21.301    06 Jan 2026 00:12:26.330      605.02878679    
06 Jan 2026 01:42:35.777    06 Jan 2026 01:45:26.804      171.02778355    
06 Jan 2026 11:39:31.810    06 Jan 2026 11:47:45.785      493.97537399    
06 Jan 2026 13:14:35.613    06 Jan 2026 13:24:42.938      607.32544094    
06 Jan 2026 14:51:16.528    06 Jan 2026 14:57:39.092      382.56407582    
06 Jan 2026 22:36:24.711    06 Jan 2026 22:45:43.683      558.97133129    
07 Jan 2026 00:11:36.264    07 Jan 2026 00:21:30.834      594.56993623    
07 Jan 2026 11:48:29.813    07 Jan 2026 11:57:13.335      523.52132367    
07 Jan 2026 13:23:45.040    07 Jan 2026 13:33:44.968      599.92812452    
07 Jan 2026 15:00:38.830    07 Jan 2026 15:06:14.812      335.98165334    
07 Jan 2026 21:14:16.175    07 Jan 2026 21:17:08.959      172.78420979    
07 Jan 2026 22:45:20.014    07 Jan 2026 22:54:55.453      575.43855646    
08 Jan 2026 00:20:53.669    08 Jan 2026 00:30:34.249      580.57987400    
08 Jan 2026 11:57:29.793    08 Jan 2026 11:59:59.995      150.20218645    


Number of events : 41


